|OrderId|OrderDate |OrderAmount|SalePersone     |
|-------|----------|-----------|----------------|
|42,143 |2013-04-30|130,383.81 |All LL          |
|42,144 |2013-04-30|61,167.45  |Neville Hindley |
|42,145 |2013-05-31|154,793.23 |All LL          |
|42,146 |2013-05-31|86,530.84  |Neville Hindley |
|42,147 |2013-06-28|34,582.08  |Neville Hindley |
|42,148 |2013-06-28|115,966.8  |All LL          |
|42,149 |2013-07-31|96,503.66  |Neville Hindley |
|42,150 |2013-07-31|173,489.04 |All LL          |
|42,151 |2013-08-30|105,603.22 |Neville Hindley |
|42,152 |2013-08-30|144,459.46 |All LL          |
|42,153 |2013-09-30|57,590.82  |Neville Hindley |
|42,154 |2013-09-30|210,070.47 |All LL          |
|42,155 |2013-10-18|46,745.23  |Neville Hindley |
|42,156 |2013-10-18|87,860.1   |All LL          |
|42,157 |2013-10-21|580        |Neville Hindley |
|42,158 |2013-10-21|1,849      |Neville Hindley |
|42,159 |2013-10-21|2,990      |Neville Hindley |
|42,160 |2013-10-21|2,249      |Neville Hindley |
|42,161 |2013-10-21|2,430.55   |Neville Hindley |
|42,162 |2013-10-21|600        |Lyndon Evershed |
|42,163 |2013-10-21|213        |Neville Hindley |
|42,164 |2013-10-21|1,390      |Garth Evershed  |
|42,165 |2013-10-21|301        |Neville Hindley |
|42,166 |2013-10-21|521.4      |Neville Hindley |
|42,167 |2013-10-21|2,970.75   |Harvey Lock     |
|42,168 |2013-10-21|2,140.14   |Douglas Evershed|
|42,169 |2013-10-21|73.08      |Neville Hindley |
|42,170 |2013-10-22|120        |Neville Hindley |
|42,171 |2013-10-22|1,065      |Lyndon Evershed |
|42,172 |2013-10-22|3,740      |Lyndon Evershed |
|42,173 |2013-10-22|1,970      |Douglas Evershed|
|42,174 |2013-10-22|161.5      |Lyndon Evershed |
|42,175 |2013-10-22|385        |Neville Hindley |
|42,176 |2013-10-22|673.76     |Douglas Evershed|
|42,177 |2013-10-22|1,180      |Garth Evershed  |
|42,178 |2013-10-23|-1,532     |Lyndon Evershed |
|42,179 |2013-10-23|935        |Neville Hindley |
|42,180 |2013-10-23|265        |Neville Hindley |
|42,181 |2013-10-23|395        |Neville Hindley |
|42,182 |2013-10-23|228        |Neville Hindley |
|42,183 |2013-10-23|1,119      |Neville Hindley |
|42,184 |2013-10-23|421.94     |Neville Hindley |
|42,185 |2013-10-23|264        |Lyndon Evershed |
|42,186 |2013-10-23|391        |Neville Hindley |
|42,187 |2013-10-23|2,093      |Lyndon Evershed |
|42,188 |2013-10-23|405        |Neville Hindley |
|42,189 |2013-10-23|1,943.75   |Garth Evershed  |
|42,190 |2013-10-23|1,850.2    |Lyndon Evershed |
|42,191 |2013-10-24|2,422      |Garth Evershed  |
|42,192 |2013-10-24|1,146.44   |Lyndon Evershed |
|42,193 |2013-10-24|1,042.5    |Garth Evershed  |
|42,194 |2013-10-24|1,120      |Garth Evershed  |
|42,195 |2013-10-24|747.7      |Lyndon Evershed |
|42,196 |2013-10-24|1,121      |Neville Hindley |
|42,197 |2013-10-25|1,350      |Neville Hindley |
|42,198 |2013-10-25|495        |Neville Hindley |
|42,199 |2013-10-25|483.5      |Neville Hindley |
|42,200 |2013-10-25|838        |Douglas Evershed|
|42,201 |2013-10-25|2,894      |Garth Evershed  |
|42,202 |2013-10-25|1,993      |Lyndon Evershed |
|42,203 |2013-10-25|2,724      |Neville Hindley |
|42,204 |2013-10-25|740.25     |Neville Hindley |
|42,205 |2013-10-25|924        |Neville Hindley |
|42,206 |2013-10-25|1,218      |Garth Evershed  |
|42,207 |2013-10-28|2,775      |Neville Hindley |
|42,208 |2013-10-28|774        |Neville Hindley |
|42,209 |2013-10-28|983.5      |Garth Evershed  |
|42,210 |2013-10-28|99.32      |Harvey Lock     |
|42,211 |2013-10-28|1,373.59   |Lyndon Evershed |
|42,212 |2013-10-28|3,107.74   |Lyndon Evershed |
|42,213 |2013-10-29|141.94     |Lyndon Evershed |
|42,214 |2013-10-29|612.5      |Neville Hindley |
|42,215 |2013-10-29|434.46     |Neville Hindley |
|42,216 |2013-10-29|237.5      |Neville Hindley |
|42,217 |2013-10-29|1,348      |Neville Hindley |
|42,218 |2013-10-29|273.33     |Neville Hindley |
|42,219 |2013-10-29|1,591.5    |Lyndon Evershed |
|42,220 |2013-10-29|782.6      |Neville Hindley |
|42,221 |2013-10-29|2,451      |Garth Evershed  |
|42,222 |2013-10-29|665        |Garth Evershed  |
|42,223 |2013-10-30|599.75     |Garth Evershed  |
|42,224 |2013-10-30|522.5      |Garth Evershed  |
|42,225 |2013-10-30|44.46      |Garth Evershed  |
|42,226 |2013-10-30|1,210.86   |Garth Evershed  |
|42,227 |2013-10-30|2,179      |Lyndon Evershed |
|42,228 |2013-10-30|257.5      |Garth Evershed  |
|42,229 |2013-10-30|56.7       |Lyndon Evershed |
|42,230 |2013-10-30|2,156      |Neville Hindley |
|42,231 |2013-10-30|609        |Neville Hindley |
|42,232 |2013-10-30|752        |Neville Hindley |
|42,233 |2013-10-30|2,510      |Neville Hindley |
|42,234 |2013-10-31|117.5      |Neville Hindley |
|42,235 |2013-10-31|80         |Neville Hindley |
|42,236 |2013-10-31|295        |Neville Hindley |
|42,237 |2013-10-31|5,135      |Neville Hindley |
|42,238 |2013-10-31|996        |Lyndon Evershed |
|42,239 |2013-11-01|1,359.35   |Neville Hindley |
|42,240 |2013-11-01|1,466      |Neville Hindley |
|42,241 |2013-11-01|1,010      |Neville Hindley |
|42,242 |2013-11-01|495        |Neville Hindley |
|42,243 |2013-11-01|1,530      |Garth Evershed  |
|42,244 |2013-11-01|4,608      |Lyndon Evershed |
|42,245 |2013-11-01|3,580      |Douglas Evershed|
|42,246 |2013-11-01|9,918      |Garth Evershed  |
|42,247 |2013-11-04|282        |Neville Hindley |
|42,248 |2013-11-04|329.5      |Neville Hindley |
|42,249 |2013-11-04|504.5      |Lyndon Evershed |
|42,250 |2013-11-04|398.75     |Garth Evershed  |
|42,251 |2013-11-04|-319       |Garth Evershed  |
|42,252 |2013-11-04|265        |Garth Evershed  |
|42,253 |2013-11-04|355.25     |Lyndon Evershed |
|42,254 |2013-11-05|1,422.5    |Garth Evershed  |
|42,255 |2013-11-05|398        |Garth Evershed  |
|42,256 |2013-11-05|710.5      |Harvey Lock     |
|42,257 |2013-11-05|95         |Lyndon Evershed |
|42,258 |2013-11-05|5,523      |Lyndon Evershed |
|42,259 |2013-11-05|482.7      |Neville Hindley |
|42,260 |2013-11-05|158.9      |Neville Hindley |
|42,261 |2013-11-05|2,749.5    |Neville Hindley |
|42,262 |2013-11-05|15,600     |Garth Evershed  |
|42,263 |2013-11-05|-2,451     |Garth Evershed  |
|42,264 |2013-11-05|6,246      |Lyndon Evershed |
|42,265 |2013-11-06|2,493.8    |Neville Hindley |
|42,266 |2013-11-06|420        |Neville Hindley |
|42,267 |2013-11-06|228        |Lyndon Evershed |
|42,268 |2013-11-06|6,700      |Garth Evershed  |
|42,269 |2013-11-06|1,084      |Garth Evershed  |
|42,270 |2013-11-06|1,187      |Harvey Lock     |
|42,271 |2013-11-06|2,510      |Neville Hindley |
|42,272 |2013-11-06|498        |Neville Hindley |
|42,273 |2013-11-06|888        |Neville Hindley |
|42,274 |2013-11-06|643        |Neville Hindley |
|42,275 |2013-11-06|495        |Neville Hindley |
|42,276 |2013-11-06|617.4      |Neville Hindley |
|42,277 |2013-11-06|1,305      |Neville Hindley |
|42,278 |2013-11-07|816.48     |Neville Hindley |
|42,279 |2013-11-07|899.5      |Douglas Evershed|
|42,280 |2013-11-07|1,838      |Neville Hindley |
|42,281 |2013-11-07|12,592.5   |Lyndon Evershed |
|42,282 |2013-11-07|623.5      |Neville Hindley |
|42,283 |2013-11-07|797        |Garth Evershed  |
|42,284 |2013-11-07|2,553      |Garth Evershed  |
|42,285 |2013-11-08|372        |Neville Hindley |
